Taxa	Coverage-Of-All-Bams	"Bams(A list of bams of the taxon, seperated by the delimiter of Tab)"
TW0285	11.242	/data3/wgs/bam/ABD/TW0285.rmdup.bam
TW0286	11.281	/data3/wgs/bam/ABD/TW0286.rmdup.bam
TW0287	11.145	/data3/wgs/bam/ABD/TW0287.rmdup.bam
TW0288	11.432	/data3/wgs/bam/ABD/TW0288.rmdup.bam
TW0289	11.425	/data3/wgs/bam/ABD/TW0289.rmdup.bam
TW0290	11.309	/data3/wgs/bam/ABD/TW0290.rmdup.bam
TW0291	11.866	/data3/wgs/bam/ABD/TW0291.rmdup.bam
TW0292	11.694	/data3/wgs/bam/ABD/TW0292.rmdup.bam
TW0293	12.36	/data3/wgs/bam/ABD/TW0293.rmdup.bam
TW0294	12.213	/data3/wgs/bam/ABD/TW0294.rmdup.bam
TW0295	12.785	/data3/wgs/bam/ABD/TW0295.rmdup.bam
TW0296	12.279	/data3/wgs/bam/ABD/TW0296.rmdup.bam
TW0297	12.145	/data3/wgs/bam/ABD/TW0297.rmdup.bam
TW0298	12.259	/data3/wgs/bam/ABD/TW0298.rmdup.bam
TW0299	11.438	/data3/wgs/bam/ABD/TW0299.rmdup.bam
TW0300	12.29	/data3/wgs/bam/ABD/TW0300.rmdup.bam
TW0301	12.238	/data3/wgs/bam/ABD/TW0301.rmdup.bam
TW0302	12.43	/data3/wgs/bam/ABD/TW0302.rmdup.bam
TW0303	11.637	/data3/wgs/bam/ABD/TW0303.rmdup.bam
TW0304	11.188	/data3/wgs/bam/ABD/TW0304.rmdup.bam
TW0305	11.346	/data3/wgs/bam/ABD/TW0305.rmdup.bam
TW0306	12.365	/data3/wgs/bam/ABD/TW0306.rmdup.bam
TW0307	11.36	/data3/wgs/bam/ABD/TW0307.rmdup.bam
TW0308	11.356	/data3/wgs/bam/ABD/TW0308.rmdup.bam
TW0309	12.178	/data3/wgs/bam/ABD/TW0309.rmdup.bam
TW0310	12.053	/data3/wgs/bam/ABD/TW0310.rmdup.bam
TW0311	11.907	/data3/wgs/bam/ABD/TW0311.rmdup.bam
TW0312	12.01	/data3/wgs/bam/ABD/TW0312.rmdup.bam
TW0313	12.291	/data3/wgs/bam/ABD/TW0313.rmdup.bam
TW0314	12.108	/data3/wgs/bam/ABD/TW0314.rmdup.bam
TW0315	11.947	/data3/wgs/bam/ABD/TW0315.rmdup.bam
TW0316	11.098	/data3/wgs/bam/ABD/TW0316.rmdup.bam
TW0317	11.487	/data3/wgs/bam/ABD/TW0317.rmdup.bam
TW0318	11.294	/data3/wgs/bam/ABD/TW0318.rmdup.bam
TW0319	11.768	/data3/wgs/bam/ABD/TW0319.rmdup.bam
TW0320	11.972	/data3/wgs/bam/ABD/TW0320.rmdup.bam
TW0321	12.696	/data3/wgs/bam/ABD/TW0321.rmdup.bam
TW0322	12.096	/data3/wgs/bam/ABD/TW0322.rmdup.bam
TW0323	11.414	/data3/wgs/bam/ABD/TW0323.rmdup.bam
TW0324	11.697	/data3/wgs/bam/ABD/TW0324.rmdup.bam
TW0325	11.539	/data3/wgs/bam/ABD/TW0325.rmdup.bam
TW0326	12.223	/data3/wgs/bam/ABD/TW0326.rmdup.bam
TW0327	12.165	/data3/wgs/bam/ABD/TW0327.rmdup.bam
TW0328	11.994	/data3/wgs/bam/ABD/TW0328.rmdup.bam
TW0329	12.149	/data3/wgs/bam/ABD/TW0329.rmdup.bam
TW0330	11.454	/data3/wgs/bam/ABD/TW0330.rmdup.bam
TW0331	11.36	/data3/wgs/bam/ABD/TW0331.rmdup.bam
TW0332	11.492	/data3/wgs/bam/ABD/TW0332.rmdup.bam
TW0333	11.417	/data3/wgs/bam/ABD/TW0333.rmdup.bam
TW0334	11.234	/data3/wgs/bam/ABD/TW0334.rmdup.bam
TW0335	11.64	/data3/wgs/bam/ABD/TW0335.rmdup.bam
TW0336	11.528	/data3/wgs/bam/ABD/TW0336.rmdup.bam
TW0337	12.094	/data3/wgs/bam/ABD/TW0337.rmdup.bam
TW0338	11.81	/data3/wgs/bam/ABD/TW0338.rmdup.bam
